epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7196,1.41542,2.76749,3.03104,1.31911,0.58224,0.10417,0.18205,0.09963,0.58224,0.10417,0.18838,0.09652,1.59361,2.80473,3.43529,1.27616,0.0703125,0.00329861,0.00329861
2,26.0445,1.3829,2.37628,2.14183,1.2631,0.36179,0.3125,0.26793,0.14138,0.39513,0.31846,0.29086,0.15185,1.79349,3.11205,2.68238,1.39851,0.0402304,0.00654987,0.00654987
3,38.0962,1.43597,2.52246,1.98608,1.32106,0.34944,0.26667,0.22186,0.11196,0.36516,0.25417,0.22588,0.11166,1.97932,3.72005,2.5514,1.5786,0.0100659,0.00971864,0.00971864
4,50.0112,1.52034,2.50399,1.96464,1.3689,0.38743,0.3,0.26192,0.12683,0.37129,0.2875,0.24193,0.10873,1.75604,3.57975,3.42466,1.52676,0.00962875,0.00962875,0.00962875
5,62.119,1.54901,2.53337,1.90784,1.36799,0.38722,0.22917,0.20516,0.10243,0.38097,0.21667,0.18552,0.08753,1.83456,3.71236,3.60851,1.64098,0.009505,0.009505,0.009505
6,74.1453,1.5074,2.52552,1.84222,1.35225,0.39289,0.28333,0.21938,0.09152,0.37782,0.29167,0.21895,0.09339,1.88768,3.12216,2.44344,1.5607,0.00938125,0.00938125,0.00938125
7,86.4021,1.46894,2.43785,1.84165,1.32128,0.33959,0.2875,0.25321,0.13228,0.35124,0.25943,0.22997,0.10522,1.79315,3.61658,2.2914,1.51699,0.0092575,0.0092575,0.0092575
8,98.314,1.4443,2.38637,1.71609,1.33593,0.31433,0.19583,0.15812,0.08007,0.26475,0.17855,0.14802,0.0754,2.0202,3.75301,2.59819,1.71831,0.00913375,0.00913375,0.00913375
9,110.261,1.43837,2.39354,1.65162,1.31295,0.43543,0.38242,0.32855,0.15541,0.41197,0.3625,0.30574,0.1281,1.8115,3.3787,2.27925,1.508,0.00901,0.00901,0.00901
10,122.197,1.39675,2.29487,1.57085,1.29018,0.35674,0.33333,0.26775,0.128,0.38035,0.31667,0.287,0.13938,1.79802,3.08926,2.45441,1.53478,0.00888625,0.00888625,0.00888625
11,134.131,1.40394,2.26524,1.55032,1.27831,0.39664,0.37917,0.35146,0.17742,0.50413,0.33333,0.35312,0.15587,1.73154,3.20735,1.98171,1.49621,0.0087625,0.0087625,0.0087625
12,146.108,1.39676,2.21213,1.52091,1.26828,0.46355,0.31667,0.3336,0.18146,0.43915,0.3,0.30191,0.15922,1.6956,3.02761,2.04214,1.48302,0.00863875,0.00863875,0.00863875
13,158.226,1.36927,2.22577,1.495,1.27531,0.46873,0.3566,0.35027,0.18718,0.42687,0.37083,0.35772,0.18158,1.66436,2.99487,2.01813,1.41422,0.008515,0.008515,0.008515
